dia,precio_qchaucoin,demanda,inflacion,dP_dt
139,1.003642,-0.008458,0.002336,-0.007059
140,0.996583,-0.00948,0.002434,-0.006424
141,0.990159,-0.009962,0.002543,-0.005614
142,0.984544,-0.00989,0.002662,-0.004654
143,0.97989,-0.009268,0.00279,-0.00357
144,0.97632,-0.008112,0.002927,-0.002394
145,0.973926,-0.006453,0.003071,-0.001159
146,0.972767,-0.004339,0.003222,9.9e-05
147,0.972866,-0.001827,0.003378,0.001346
148,0.974212,0.001012,0.003538,0.002545
149,0.976757,0.004101,0.003702,0.003663
150,0.98042,0.007353,0.003867,0.004668
151,0.985088,0.010678,0.004034,0.005532
152,0.99062,0.013985,0.0042,0.00623
153,0.99685,0.017181,0.004365,0.006743
154,1.003593,0.020178,0.004528,0.007056
155,1.010648,0.022893,0.004686,0.00716
156,1.017808,0.025251,0.00484,0.007052
157,1.024861,0.027186,0.004988,0.006736
158,1.031597,0.028645,0.00513,0.00622
159,1.037817,0.029587,0.005263,0.005518
160,1.043335,0.029986,0.005388,0.004651
161,1.047987,0.029832,0.005503,0.003643
162,1.051629,0.029128,0.005608,0.002521
163,1.05415,0.027893,0.005701,0.001318
164,1.055469,0.026163,0.005783,6.8e-05
165,1.055537,0.023985,0.005852,-0.001194
166,1.054343,0.021419,0.005908,-0.002433
167,1.05191,0.018537,0.005952,-0.003612
168,1.048298,0.015418,0.005981,-0.0047
169,1.043599,0.012149,0.005997,-0.005664
170,1.037935,0.008821,0.005999,-0.006476
171,1.031459,0.005525,0.005987,-0.007114
172,1.024344,0.002353,0.005962,-0.007559
173,1.016785,-0.000607,0.005922,-0.007797
174,1.008989,-0.003273,0.00587,-0.00782
175,1.001168,-0.005571,0.005804,-0.007627
176,0.993541,-0.007437,0.005726,-0.007222
177,0.986318,-0.008821,0.005636,-0.006616
178,0.979703,-0.009682,0.005535,-0.005823
179,0.97388,-0.009999,0.005423,-0.004865
180,0.969015,-0.009761,0.005301,-0.003767
